variant,run_id,final_size_fraction,peak_infected,peak_infected_day,peak_fractal_dim,peak_fractal_day,early_slope_D
delta,0,0.9608,299,410,1.1068548422381883,352,0.02525018397355162
delta,1,0.9558,314,381,1.1443092562103883,417,0.012411237429410268
delta,2,0.9551,335,470,1.0978538758114171,470,0.020153196311156328
delta,3,0.9575,344,468,1.1342545765118102,468,0.01486660770507416
delta,4,0.9612,268,386,1.0909332082030772,327,0.02002758573775244
delta,5,0.9496,328,399,1.1268367941534436,396,0.009193885250279827
delta,6,0.9629,306,416,1.1217791840992595,398,0.01566195504744623
delta,7,0.0001,1,0,0.0,0,
delta,8,0.0001,1,0,0.0,0,
delta,9,0.0001,1,0,0.0,0,0.0
delta,10,0.9513,329,438,1.1092827691106304,462,0.020785129517133412
delta,11,0.9636,339,408,1.1209342596295238,404,0.018702999730260128
delta,12,0.0001,1,0,0.0,0,0.0
delta,13,0.957,335,429,1.1575375668365178,429,0.008021839754705475
delta,14,0.9564,339,441,1.1200033197033743,400,0.02040522838652763
delta,15,0.9608,353,416,1.1209477725229247,414,0.025688165541096025
delta,16,0.0003,1,0,0.0,0,0.0
delta,17,0.9614,334,442,1.1133230044102953,373,0.026298028934683082
delta,18,0.0001,1,0,0.0,0,
delta,19,0.965,342,449,1.119185238031182,410,0.021652384140270348
delta,20,0.9592,324,478,1.121377433071829,400,0.018495377954904565
delta,21,0.9698,322,400,1.1542973660465572,400,0.020555187034833163
delta,22,0.9545,319,503,1.1405883800345986,485,0.0007689248531687062
delta,23,0.9627,340,469,1.099900401119699,403,0.027725080444017523
delta,24,0.9533,268,445,1.0853901568477942,384,0.008305551664755655
delta,25,0.9592,326,465,1.1267880987546879,421,0.0
delta,26,0.0001,1,0,0.0,0,0.0
delta,27,0.9564,275,427,1.1034245514056782,417,0.02265794468945614
delta,28,0.9553,280,395,1.1053623259118075,395,0.013694671190892255
delta,29,0.9577,290,416,1.1031090077263184,416,0.013590833331377875
delta,30,0.9647,337,481,1.1403989619715986,448,0.0
delta,31,0.9565,331,393,1.1415014900932052,392,0.0031751352617993946
delta,32,0.9553,336,466,1.1367137722620182,413,0.02404508986667054
delta,33,0.0002,1,0,0.0,0,0.0
delta,34,0.9605,337,397,1.144402104167415,390,0.016932326630645984
delta,35,0.9546,359,450,1.1412296140656812,425,0.018230509072492386
delta,36,0.9577,325,425,1.1410744649399964,425,0.003439141826286728
delta,37,0.9636,314,430,1.1299554325875687,430,0.00537176676383185
delta,38,0.9671,338,441,1.1188845186266023,441,0.02284141186650166
delta,39,0.9572,339,396,1.139224893425385,396,0.0027925221429996854
delta,40,0.0001,1,0,0.0,0,
delta,41,0.9616,341,437,1.1246482474414083,443,0.033544614000858015
delta,42,0.0001,1,0,0.0,0,0.0
delta,43,0.9546,320,432,1.1072500765683606,432,0.009395300555747745
delta,44,0.0001,1,0,0.0,0,
delta,45,0.9656,329,390,1.1243629540205113,340,0.021917333453769394
delta,46,0.9592,297,452,1.1123839665922626,413,0.015375133300744057
delta,47,0.9645,328,424,1.1120786279371442,424,0.0
delta,48,0.9609,315,406,1.1356479080941924,406,0.022172431169217632
delta,49,0.0001,1,0,0.0,0,0.0
omicron,0,0.9993,428,175,1.2122061513981888,170,0.026356296406507395
omicron,1,0.9995,421,182,1.1854220051992257,180,0.03572517713662591
omicron,2,0.9995,450,197,1.209028646111507,180,0.02944227493243311
omicron,3,0.9991,435,183,1.1887429591897052,175,0.034141520552237785
omicron,4,0.9994,440,187,1.226078520024538,165,0.034195164615905306
omicron,5,0.9987,437,189,1.1948433444124358,167,0.038417435972358804
omicron,6,0.9996,431,193,1.2225705959446336,169,0.03371734478555632
omicron,7,0.999,448,192,1.1929051317240573,170,0.03146825697322179
omicron,8,0.9992,457,198,1.2196827941490613,179,0.020202242430053047
omicron,9,0.9995,450,193,1.2091779504139637,168,0.03146796296316949
omicron,10,0.9988,454,175,1.2139113110914532,175,0.02913696729034577
omicron,11,0.9988,417,196,1.2007837586321641,169,0.029837428422937812
omicron,12,0.9992,420,191,1.2251471260492994,173,0.035516722546499783
omicron,13,0.9989,433,188,1.1965015543570838,169,0.030264983585899175
omicron,14,0.999,433,182,1.207139497219529,162,0.03437436032963008
omicron,15,0.9989,436,184,1.2037040733392157,173,0.03350371007696858
omicron,16,0.999,464,180,1.1928405717023187,180,0.04028927989985222
omicron,17,0.0001,1,0,0.0,0,0.0
omicron,18,0.9993,448,185,1.2016803199851973,186,0.03648265212585397
omicron,19,0.9988,451,196,1.2236204850303303,173,0.03881290398782841
omicron,20,0.9986,439,188,1.2009105548207502,167,0.03781557264993728
omicron,21,0.9991,421,180,1.2062292011640814,158,0.039732981731617094
omicron,22,0.9987,460,183,1.2079590352936704,177,0.034917420464885336
omicron,23,0.9991,436,187,1.2038163112095226,181,0.03533025232539283
omicron,24,0.9991,450,191,1.2138479770447104,181,0.016613382301353546
omicron,25,0.9994,441,194,1.232042027888918,173,0.033407750506345785
omicron,26,0.9996,450,186,1.2106910005490001,179,0.03276906368642531
omicron,27,0.9985,440,183,1.190950159434158,161,0.03849094873750294
omicron,28,0.999,437,181,1.2182921930278192,174,0.03542471716773817
omicron,29,0.9985,419,192,1.2206419046224166,172,0.038106437755222565
omicron,30,0.9984,402,190,1.1799746528661035,176,0.03792698972474324
omicron,31,0.9991,433,186,1.1972677389642175,164,0.03925400965306018
omicron,32,0.9995,465,189,1.1973564138857085,187,0.03261268992349836
omicron,33,0.9993,445,183,1.215009343046653,174,0.035953332279252015
omicron,34,0.9994,439,195,1.1978731791400061,170,0.02569297773237431
omicron,35,0.9988,441,192,1.1984497577031903,178,0.03657325829058284
omicron,36,0.9994,446,191,1.1949811018497025,174,0.026349319819978022
omicron,37,0.9987,445,190,1.2122688829027124,172,0.026022370665636844
omicron,38,0.9991,412,182,1.1861118422602372,182,0.03710950547927986
omicron,39,0.9994,445,185,1.1900304546263092,176,0.0353330007581083
omicron,40,0.9991,431,184,1.2058870879477464,170,0.03275683888945238
omicron,41,0.9997,452,181,1.2026661539802845,177,0.0339604144649147
omicron,42,0.9991,462,174,1.2480627063407286,162,0.035108089826065746
omicron,43,0.9993,423,169,1.210947062930063,184,0.036671558009166355
omicron,44,0.999,442,186,1.2346279731511944,177,0.03814784154655994
omicron,45,0.9982,425,198,1.2044199381685061,188,0.026465185411271092
omicron,46,0.9985,428,195,1.2184498241481363,174,0.03950682086550859
omicron,47,0.9993,440,170,1.2251404979816718,170,0.04450462828872637
omicron,48,0.9989,421,181,1.1875039024269625,163,0.03372886882307171
omicron,49,0.0001,1,0,0.0,0,
original,0,0.0003,1,0,0.0,0,0.0
original,1,0.0019,5,28,0.31539233215292667,28,0.0002203694872947986
original,2,0.041,15,289,0.768977683061641,256,0.005623898426650218
original,3,0.0007,3,22,0.15126515198590285,22,0.0016527711547109885
original,4,0.01,8,175,0.6322722406203745,180,-0.00038700167626363286
original,5,0.14,37,591,0.7128209584695997,655,0.0
original,6,0.0589,22,222,0.7914372718045687,259,0.0044240531099990635
original,7,0.0106,13,66,0.5906093405228054,150,-0.0012476801854190793
original,8,0.1888,49,458,0.7655257200036225,459,0.006862954183460087
original,9,0.0087,12,45,0.5294770179590428,81,0.018420585848465017
original,10,0.0178,12,90,0.6619927808661287,241,0.01051687415472502
original,11,0.0012,3,37,0.29156533772553306,37,0.0025425807859417297
original,12,0.1386,40,672,0.8002726949896278,516,-0.0014508424684389852
original,13,0.1094,35,594,0.708454782663015,240,0.019473250801508066
original,14,0.1621,40,193,0.8507335879394781,636,0.015689797556379247
original,15,0.1085,39,390,0.8218691318224578,697,0.01612145201689211
original,16,0.0001,1,0,0.0,0,0.0
original,17,0.0004,1,0,0.0,0,0.0
original,18,0.2085,50,556,0.769329672487854,606,0.0038378766030410785
original,19,0.0322,22,204,0.7969696571540432,205,0.012311393001637453
original,20,0.1106,33,410,0.8354990383958592,693,0.008767639686343353
original,21,0.0584,18,690,0.7797775455932965,469,0.004232133901764889
original,22,0.1299,38,712,0.7091665377979428,733,0.0029284611166061863
original,23,0.1289,41,728,0.7239049831946878,422,0.014165463234553885
original,24,0.0001,1,0,0.0,0,
original,25,0.0002,1,0,0.0,0,0.0
original,26,0.1049,39,746,0.8151832183636007,737,0.007355377730984424
original,27,0.0872,33,399,0.7388156726451187,223,0.0
original,28,0.0006,2,7,0.11355069648997598,7,0.003201750182263903
original,29,0.172,54,452,0.7411969714788574,377,0.014926173163123458
original,30,0.1271,38,800,0.8437175109762045,703,0.01362487485348154
original,31,0.0377,22,159,0.6354679066229181,159,0.017718882390510556
original,32,0.1035,49,308,0.7854080905152768,308,0.015607999376907935
original,33,0.002,6,19,0.37952337924066554,19,0.021056112453600246
original,34,0.0001,1,0,0.0,0,0.0
original,35,0.0002,1,0,0.0,0,0.0
original,36,0.047,21,239,0.7388348042620569,796,0.0
original,37,0.1356,42,264,0.8611938355683934,231,0.005270024802745391
original,38,0.0756,23,229,0.7077312414415912,113,0.013226593308053761
original,39,0.0001,1,0,0.0,0,
original,40,0.0127,13,136,0.6166324210553201,136,0.0
original,41,0.1377,40,363,0.7438309853135675,784,0.018173130548743154
original,42,0.1514,56,584,0.8612239276630098,584,0.0
original,43,0.0016,5,45,0.35684232210270717,35,0.008747204253681662
original,44,0.0824,24,327,0.7841241409885373,787,0.01037862100406798
original,45,0.0026,5,46,0.2675635646523764,47,0.002829511162077802
original,46,0.0034,5,62,0.3679168734764238,103,0.000986663683595665
original,47,0.0244,25,127,0.6878391833329692,127,0.00572960666966476
original,48,0.0117,10,120,0.527302207762831,120,0.015314982221116732
original,49,0.0001,1,0,0.0,0,0.0
